File,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,0,1,2,3,14,15,23,31,32,33,34,35,46,47,55,63
SDS_CloudMask_2022152_aid0001,aid0001,2022-06-01 14:13:03+00:00,22133,006,0601,True,,,,11.0,,1029.0,8377.0,67389.0,,,,,,20.0,31.0,87.0
SDS_CloudMask_2022152_aid0001,aid0001,2022-06-01 17:27:21+00:00,22135,013,0601,True,,,,,1194.0,12177.0,24.0,63089.0,,,,,,38.0,1.0,85.0
SDS_CloudMask_2022155_aid0001,aid0001,2022-06-04 13:25:10+00:00,22179,006,0601,True,9236.0,52842.0,,2374.0,,,291.0,,20.0,101.0,,,,,,
SDS_CloudMask_2022155_aid0001,aid0001,2022-06-04 16:39:50+00:00,22181,013,0601,True,,52517.0,,21709.0,,,2575.0,,,83.0,,46.0,,,14.0,
SDS_CloudMask_2022156_aid0001,aid0001,2022-06-05 15:51:07+00:00,22196,013,0601,True,,,,,7796.0,5195.0,,,,,,,34.0,,,
SDS_CloudMask_2022157_aid0001,aid0001,2022-06-06 11:48:37+00:00,22209,005,0601,True,,16058.0,,52790.0,,175.0,7428.0,22.0,,18.0,,117.0,,,,
SDS_CloudMask_2022158_aid0001,aid0001,2022-06-07 15:51:26+00:00,22228,012,0601,True,,,,,,50456.0,,26244.0,,,,,,75.0,,61.0
SDS_CloudMask_2022159_aid0001,aid0001,2022-06-08 11:48:48+00:00,22241,007,0601,True,,4673.0,,58609.0,,422.0,12676.0,94.0,,,,102.0,,,32.0,
SDS_CloudMask_2022161_aid0001,aid0001,2022-06-10 10:12:22+00:00,22271,009,0601,True,,,,15392.0,,19759.0,32953.0,8142.0,,,,63.0,,,71.0,
SDS_CloudMask_2022162_aid0001,aid0001,2022-06-11 14:15:11+00:00,22289,013,0601,True,,51512.0,,22096.0,,150.0,2716.0,4.0,,71.0,,59.0,,,,
SDS_CloudMask_2022163_aid0001,aid0001,2022-06-12 10:12:18+00:00,22302,006,0601,True,,76476.0,,,,,,,,132.0,,,,,,
SDS_CloudMask_2022163_aid0001,aid0001,2022-06-12 13:26:53+00:00,22304,013,0601,True,,76472.0,,,,,,,,136.0,,,,,,
SDS_CloudMask_2022164_aid0001,aid0001,2022-06-13 09:24:20+00:00,22317,008,0601,True,,,,527.0,,62280.0,2499.0,11173.0,,,,15.0,,114.0,,
SDS_CloudMask_2022165_aid0001,aid0001,2022-06-14 08:35:16+00:00,22332,005,0601,True,,25802.0,,111.0,,,,,,46.0,,,,,,
SDS_CloudMask_2022165_aid0001,aid0001,2022-06-14 08:36:08+00:00,22332,006,0601,True,,57332.0,,8824.0,,,846.0,,,94.0,,,,,,
SDS_CloudMask_2022167_aid0001,aid0001,2022-06-16 08:35:41+00:00,22363,006,0601,True,,1.0,,9829.0,,12692.0,36287.0,17669.0,,,,33.0,,26.0,71.0,
SDS_CloudMask_2022167_aid0001,aid0001,2022-06-16 11:49:21+00:00,22365,009,0601,True,,,,5176.0,,46565.0,12158.0,12914.0,,,,,,76.0,29.0,26.0
SDS_CloudMask_2022171_aid0001,aid0001,2022-06-20 06:59:17+00:00,22424,007,0601,True,,,,,,76813.0,,,,,,,,131.0,,
SDS_CloudMask_2022171_aid0001,aid0001,2022-06-20 10:13:02+00:00,22426,010,0601,True,,,,4036.0,,12223.0,51722.0,8820.0,,,,23.0,,,120.0,
SDS_CloudMask_2022173_aid0001,aid0001,2022-06-22 10:14:12+00:00,22457,010,0601,True,12801.0,,1732.0,,21.0,7194.0,,1163.0,43.0,,4.0,,,41.0,,
SDS_CloudMask_2022174_aid0001,aid0001,2022-06-23 09:26:18+00:00,22472,011,0601,True,,44378.0,,29743.0,,,2683.0,,,48.0,,90.0,,,2.0,
SDS_CloudMask_2022175_aid0001,aid0001,2022-06-24 05:23:06+00:00,22485,006,0601,True,,,,123.0,,42944.0,5052.0,28699.0,,,,10.0,,90.0,26.0,
SDS_CloudMask_2022175_aid0001,aid0001,2022-06-24 08:37:54+00:00,22487,011,0601,True,,,,218.0,,53217.0,7082.0,16184.0,,,,84.0,,,51.0,
SDS_CloudMask_2022178_aid0001,aid0001,2022-06-27 07:49:53+00:00,22533,010,0601,True,,76810.0,,,,,,,,134.0,,,,,,
SDS_CloudMask_2022179_aid0001,aid0001,2022-06-28 03:47:55+00:00,22546,004,0601,True,,,,16720.0,,13079.0,41532.0,5249.0,,,,56.0,,,79.0,
