File,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,0,1,2,3,14,15,23,31,32,33,34,35,47,55,63
SDS_CloudMask_2023154_aid0001,aid0001,2023-06-03 12:45:42+00:00,27832,004,0601,True,,74659.0,,1729.0,,,93.0,,,127.0,,,,,
SDS_CloudMask_2023155_aid0001,aid0001,2023-06-04 11:56:25+00:00,27847,003,0601,True,14687.0,,2594.0,518.0,254.0,10661.0,2667.0,18447.0,32.0,,41.0,,,33.0,
SDS_CloudMask_2023155_aid0001,aid0001,2023-06-04 11:57:17+00:00,27847,004,0601,True,1026.0,,45.0,,,2.0,,,,,,,,,
SDS_CloudMask_2023156_aid0001,aid0001,2023-06-05 15:59:03+00:00,27865,012,0601,True,,,,,,77020.0,,11.0,,,,,142.0,,
SDS_CloudMask_2023157_aid0001,aid0001,2023-06-06 11:55:56+00:00,27878,006,0601,True,,,,436.0,,5399.0,14842.0,55565.0,,,,,,138.0,
SDS_CloudMask_2023157_aid0001,aid0001,2023-06-06 15:10:03+00:00,27880,013,0601,True,,,,75.0,,3677.0,20034.0,53032.0,,,,,,126.0,
SDS_CloudMask_2023158_aid0001,aid0001,2023-06-07 11:06:49+00:00,27893,004,0601,True,,16380.0,,29703.0,,1247.0,20853.0,8290.0,,,,107.0,,28.0,
SDS_CloudMask_2023159_aid0001,aid0001,2023-06-08 15:08:57+00:00,27911,012,0601,True,,,,874.0,,58701.0,5049.0,11849.0,,,,,101.0,,34.0
SDS_CloudMask_2023160_aid0001,aid0001,2023-06-09 14:20:13+00:00,27926,012,0601,True,,53101.0,,19903.0,,335.0,3449.0,22.0,,49.0,,80.0,,5.0,
SDS_CloudMask_2023161_aid0001,aid0001,2023-06-10 13:30:20+00:00,27941,012,0601,True,,,,72.0,,12157.0,5040.0,5263.0,,,,,47.0,,
SDS_CloudMask_2023162_aid0001,aid0001,2023-06-11 09:27:32+00:00,27954,007,0601,True,,17799.0,,51061.0,,,7615.0,,,63.0,,52.0,,18.0,
SDS_CloudMask_2023163_aid0001,aid0001,2023-06-12 13:29:47+00:00,27972,012,0601,True,,76129.0,,591.0,,,92.0,,,132.0,,,,,
SDS_CloudMask_2023164_aid0001,aid0001,2023-06-13 12:40:05+00:00,27987,011,0601,True,,76419.0,,374.0,,,7.0,,,144.0,,,,,
SDS_CloudMask_2023165_aid0001,aid0001,2023-06-14 08:37:37+00:00,28000,006,0601,True,,74040.0,,2044.0,,,165.0,,,131.0,,,,,
SDS_CloudMask_2023165_aid0001,aid0001,2023-06-14 11:50:58+00:00,28002,012,0601,True,4740.0,13287.0,3478.0,10007.0,899.0,2389.0,3208.0,1219.0,14.0,,3.0,8.0,,28.0,
SDS_CloudMask_2023166_aid0001,aid0001,2023-06-15 07:48:18+00:00,28015,006,0601,True,,,,363.0,,2101.0,18235.0,56119.0,,,,4.0,,122.0,
SDS_CloudMask_2023167_aid0001,aid0001,2023-06-16 11:50:22+00:00,28033,012,0601,True,,,,,,75950.0,,526.0,,,,,132.0,,
