File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO2LSTE_001_SDS_LST_doy2023154124542_aid0001,SDS_LST,aid0001,2023-06-03 12:45:42 UTC,27832,004,0601,True,76608.0,289.44,316.78,"(289.44,316.78)",302.0674112,4.0476015,16.3830781,305.0,313.54,302.0,290.76,299.3
ECO2LSTE_001_SDS_LST_doy2023155115625_aid0001,SDS_LST,aid0001,2023-06-04 11:56:25 UTC,27847,003,0601,True,23886.0,235.56,291.92,"(235.56,291.92)",269.2076698,9.0709245,82.281671,275.72,291.92,268.68,245.9,263.78
ECO2LSTE_001_SDS_LST_doy2023157115556_aid0001,SDS_LST,aid0001,2023-06-06 11:55:56 UTC,27878,006,0601,True,76380.0,230.34,296.88,"(230.34,296.88)",271.4205525,9.6018064,92.1946855,277.66,295.72,272.14,247.44,265.56
ECO2LSTE_001_SDS_LST_doy2023157151003_aid0001,SDS_LST,aid0001,2023-06-06 15:10:03 UTC,27880,013,0601,True,74155.0,150.34,291.0,"(150.34,291.0)",267.2675043,17.6026191,309.8521997,279.56,291.0,270.9,234.46,261.52
ECO2LSTE_001_SDS_LST_doy2023158110649_aid0001,SDS_LST,aid0001,2023-06-07 11:06:49 UTC,27893,004,0601,True,76362.0,152.64,318.08,"(152.64,318.08)",291.6050523,13.4769113,181.6271384,300.3,318.08,294.8,265.66,286.44
ECO2LSTE_001_SDS_LST_doy2023159150857_aid0001,SDS_LST,aid0001,2023-06-08 15:08:57 UTC,27911,012,0601,True,17751.0,150.46,297.28,"(150.46,297.28)",255.1110078,27.0876706,733.7419005,278.62,297.28,259.78,175.16,237.17
ECO2LSTE_001_SDS_LST_doy2023160142013_aid0001,SDS_LST,aid0001,2023-06-09 14:20:13 UTC,27926,012,0601,True,76944.0,274.88,314.24,"(274.88,314.24)",300.9293673,4.862763,23.6464636,304.06,312.72,301.18,289.62,298.28
ECO2LSTE_001_SDS_LST_doy2023161133020_aid0001,SDS_LST,aid0001,2023-06-10 13:30:20 UTC,27941,012,0601,True,9372.0,151.82,295.18,"(151.82,295.18)",272.6614831,20.9788739,440.1131502,286.92,295.18,279.99,231.62,264.78
ECO2LSTE_001_SDS_LST_doy2023162092732_aid0001,SDS_LST,aid0001,2023-06-11 09:27:32 UTC,27954,007,0601,True,76608.0,277.5,314.02,"(277.5,314.02)",297.2786552,6.6679379,44.4613954,302.0,314.02,298.48,281.66,293.86
ECO2LSTE_001_SDS_LST_doy2023163132947_aid0001,SDS_LST,aid0001,2023-06-12 13:29:47 UTC,27972,012,0601,True,76944.0,283.58,316.4,"(283.58,316.4)",302.455347,4.1024198,16.8298481,305.52,314.18,302.32,290.52,299.5
ECO2LSTE_001_SDS_LST_doy2023164124005_aid0001,SDS_LST,aid0001,2023-06-13 12:40:05 UTC,27987,011,0601,True,76944.0,289.28,320.68,"(289.28,320.68)",302.9219123,4.5492949,20.6960842,306.34,316.24,303.02,289.7,299.68
ECO2LSTE_001_SDS_LST_doy2023165083737_aid0001,SDS_LST,aid0001,2023-06-14 08:37:37 UTC,28000,006,0601,True,76380.0,286.68,310.32,"(286.68,310.32)",297.5361401,3.4555758,11.9410044,300.14,307.52,297.82,287.84,295.22
ECO2LSTE_001_SDS_LST_doy2023165115058_aid0001,SDS_LST,aid0001,2023-06-14 11:50:58 UTC,28002,012,0601,True,30146.0,268.16,313.6,"(268.16,313.6)",296.4359172,10.0965657,101.9406397,303.16,313.6,299.88,279.56,293.72
ECO2LSTE_001_SDS_LST_doy2023166074818_aid0001,SDS_LST,aid0001,2023-06-15 07:48:18 UTC,28015,006,0601,True,76944.0,261.46,294.38,"(261.46,294.38)",273.9793452,6.1344015,37.6308812,278.04,291.14,272.82,261.46,269.3
ECO2LSTE_001_SDS_LST_doy2023167115022_aid0001,SDS_LST,aid0001,2023-06-16 11:50:22 UTC,28033,012,0601,True,6374.0,150.2,263.42,"(150.2,263.42)",218.0806056,25.148068,632.4253222,239.1,263.42,221.86,150.2,199.6
